Country,Code,Date,Percent
India,IND,17-02-2020,3
India,IND,18-02-2020,3.25
India,IND,19-02-2020,2.8
India,IND,20-02-2020,3.167
India,IND,21-02-2020,3.571
India,IND,22-02-2020,3.714
India,IND,23-02-2020,3.429
India,IND,24-02-2020,3.286
India,IND,25-02-2020,3.143
India,IND,26-02-2020,3.143
India,IND,27-02-2020,2.857
India,IND,28-02-2020,2.429
India,IND,29-02-2020,1.714
India,IND,01-03-2020,1.714
India,IND,02-03-2020,1.857
India,IND,03-03-2020,1.857
India,IND,04-03-2020,1.857
India,IND,05-03-2020,1.857
India,IND,06-03-2020,1.429
India,IND,07-03-2020,1.857
India,IND,08-03-2020,2
India,IND,09-03-2020,2.143
India,IND,10-03-2020,1.143
India,IND,11-03-2020,0.714
India,IND,12-03-2020,0.571
India,IND,13-03-2020,0.571
India,IND,14-03-2020,-0.571
India,IND,15-03-2020,-1.714
India,IND,16-03-2020,-2.429
India,IND,17-03-2020,-2.143
India,IND,18-03-2020,-2.714
India,IND,19-03-2020,-4
India,IND,20-03-2020,-5.857
India,IND,21-03-2020,-8.286
India,IND,22-03-2020,-15.714
India,IND,23-03-2020,-20.571
India,IND,24-03-2020,-26.571
India,IND,25-03-2020,-33.286
India,IND,26-03-2020,-39.571
India,IND,27-03-2020,-45.143
India,IND,28-03-2020,-49.571
India,IND,29-03-2020,-49.429
India,IND,30-03-2020,-51.714
India,IND,31-03-2020,-52.571
India,IND,01-04-2020,-52.429
India,IND,02-04-2020,-52.429
India,IND,03-04-2020,-52.286
India,IND,04-04-2020,-52.143
India,IND,05-04-2020,-52
India,IND,06-04-2020,-51.857
India,IND,07-04-2020,-51.286
India,IND,08-04-2020,-50.714
India,IND,09-04-2020,-50.286
India,IND,10-04-2020,-49.857
India,IND,11-04-2020,-49.714
India,IND,12-04-2020,-49.429
India,IND,13-04-2020,-49.143
India,IND,14-04-2020,-49.286
India,IND,15-04-2020,-49.286
India,IND,16-04-2020,-51
India,IND,17-04-2020,-52.714
India,IND,18-04-2020,-54.714
India,IND,19-04-2020,-56.714
India,IND,20-04-2020,-58.714
India,IND,21-04-2020,-60.857
India,IND,22-04-2020,-63
India,IND,23-04-2020,-63.286
India,IND,24-04-2020,-63.714
India,IND,25-04-2020,-63.571
India,IND,26-04-2020,-63.571
India,IND,27-04-2020,-63.571
India,IND,28-04-2020,-63.429
India,IND,29-04-2020,-63.286
India,IND,30-04-2020,-63
India,IND,01-05-2020,-62.857
India,IND,02-05-2020,-62.714
India,IND,03-05-2020,-62.571
India,IND,04-05-2020,-62.286
India,IND,05-05-2020,-62.143
India,IND,06-05-2020,-61.857
India,IND,07-05-2020,-61.714
India,IND,08-05-2020,-61.286
India,IND,09-05-2020,-61
India,IND,10-05-2020,-60.714
India,IND,11-05-2020,-60.429
India,IND,12-05-2020,-60
India,IND,13-05-2020,-59.714
India,IND,14-05-2020,-59.429
India,IND,15-05-2020,-59
India,IND,16-05-2020,-58.571
India,IND,17-05-2020,-58.286
India,IND,18-05-2020,-58
India,IND,19-05-2020,-57.857
India,IND,20-05-2020,-57.714
India,IND,21-05-2020,-57.571
India,IND,22-05-2020,-57.571
India,IND,23-05-2020,-57.571
India,IND,24-05-2020,-57.286
India,IND,25-05-2020,-57.143
